,id,categoryName,level,parentId,rankingNo,occupationId,status,Notes
,CT13918,Singing Guitarists,4,CT13900,,musicians,active,
,CT13919,Singing Pianists,4,CT13900,,musicians,active,
,CT13920,Singing Telegrams,4,CT13900,,musicians,active,
,CT13921,Soul Singers,4,CT13900,,musicians,active,
,CT13922,Wedding Singers,4,CT13900,,musicians,active,
,CT14000,Steel drummers,3,CT12000,,musicians,active,
,CT14100,Trumpeters,3,CT12000,,musicians,active,
,CT14200,Ukulele players,3,CT12000,,musicians,active,
,CT14300,Violinists,3,CT12000,,musicians,active,
,CT14400,Violists,3,CT12000,,musicians,active,
,CT14500,World & cultural,3,CT12000,,musicians,active,
,CT14501,Bollywood,4,CT14500,,musicians,active,
,CT14502,Bolero,4,CT14500,,musicians,active,
,CT14503,Bossa Nova,4,CT14500,,musicians,active,
,CT14504,Cajun,4,CT14500,,musicians,active,
,CT14505,Celtic,4,CT14500,,musicians,active,
,CT14506,Klezmer,4,CT14500,,musicians,active,
,CT14507,Latin,4,CT14500,,musicians,active,
,CT14508,Mariachi,4,CT14500,,musicians,active,
,CT14509,Merengue,4,CT14500,,musicians,active,
,CT14510,Polka,4,CT14500,,musicians,active,
,CT14511,Reggae,4,CT14500,,musicians,active,
,CT14512,Samba,4,CT14500,,musicians,active,
,CT14513,Salsa,4,CT14500,,musicians,active,
,CT14514,Ska,4,CT14500,,musicians,active,
,CT14515,Tejano,4,CT14500,,musicians,active,
,CT14516,Zydeco,4,CT14500,,musicians,active,
,CT14600,Other,3,CT12000,,musicians,active,
,CT20000,Entertainer,1,,,childrens_entertainers,active,
,CT21000,Childrens,2,CT20000,,childrens_entertainers,active,
,CT21100,Balloon Twisters,3,CT21000,,childrens_entertainers,active,
,CT21200,Caricaturists,3,CT21000,,childrens_entertainers,active,
,CT21300,Costumed Characters,3,CT21000,,childrens_entertainers,active,
,CT21400,Children’s Music,3,CT21000,,childrens_entertainers,active,
,CT21500,Children's Magic,3,CT21000,,childrens_entertainers,active,
,CT21600,Clowns,3,CT21000,,childrens_entertainers,active,
,CT21700,Educational Entertainers,3,CT21000,,childrens_entertainers,active,
,CT21800,Face Painters,3,CT21000,,childrens_entertainers,active,
,CT21900,Magicians,3,CT21000,,childrens_entertainers,active,
,CT22000,Pirate Parties,3,CT21000,,childrens_entertainers,active,
,CT22100,Pony Parties,3,CT21000,,childrens_entertainers,active,
,CT22200,Princess Parties,3,CT21000,,childrens_entertainers,active,
,CT22300,Puppet Shows,3,CT21000,,childrens_entertainers,active,
,CT22400,Trackless Trains,3,CT21000,,childrens_entertainers,active,
,CT22500,Ventriloquists,3,CT21000,,childrens_entertainers,active,
,CT22600,Other,3,CT21000,,childrens_entertainers,active,
,CT22000,Comedy,2,CT20000,,after_dinner_speaking,active,
